FID	IID	SSN
NA3215	NA32152	Low1.2
NA1060	NA10601	Low1.38
NA3406	NA34062	Low1.49
NA486	NA4861	Low1.92
NA6013	NA60131	Low1.7
NA8103	NA81031	Low1.14
NA5387	NA53871	Low2.79
NA5455	NA54551	Low2.83
NA1962	NA19621	Low2.32
NA5140	NA51401	Low2.51
NA5773	NA57731	Low2.89
NA1101	NA11012	Low2.11
NA9130	NA91301	Low2.23
NA5329	NA53292	Low2.30
NA5290	NA52902	Low2.37
NA8836	NA88362	Low2.59
NA256	NA2562	Low2.53
NA6053	NA60531	Low2.85
NA6	NA61	Low2.1
NA5818	NA58181	Low2.73
NA5209	NA52091	Low2.33
NA6053	NA60532	Low2.88
NA5407	NA54072	Low2.77
NA2409	NA24091	Low2.78
NA5080	NA50802	Low2.58
NA46	NA462	Low2.4
NA9118	NA91182	Low2.19
NA137	NA1372	Low2.14
NA5080	NA50801	Low2.60
NA5144	NA51442	Low2.87
NA1486	NA14861	Low2.27
NA262	NA2621	Low2.9
NA2075	NA20751	Low2.92
NA446	NA4462	Low2.25
NA9445	NA94452	Low2.10
NA5589	NA55891	Low2.49
NA5277	NA52772	Low2.76
NA5590	NA55902	Low2.2
NA7721	NA77212	Low2.21
NA2338	NA23382	Low2.35
NA7746	NA77461	Low2.17
NA3319	NA33192	Low2.28
NA2085	NA20851	Low2.18
NA2690	NA26901	Low2.48
NA5421	NA54212	Low2.57
NA5558	NA55582	Low2.20
NA8171	NA81712	Low2.91
NA3305	NA33051	Low2.75
NA7493	NA74932	Low2.12
NA3020	NA30201	Low2.24
NA263	NA2632	Low2.3
NA9445	NA94451	Low2.81
NA5902	NA59021	Low2.41
NA179	NA1791	Low2.8
NA1850	NA18501	Low2.71
NA5214	NA52142	Low2.5
NA3052	NA30522	Low2.47
NA3052	NA30521	Low2.7
NA340	NA3402	Low2.80
NA6056	NA60562	Low2.82
NA8836	NA88361	Low2.64
NA5481	NA54812	Low2.42
NA5154	NA51542	Low2.66
NA5340	NA53401	Low2.86
NA262	NA2622	Low2.46
NA725	NA7251	Low2.68
NA159	NA1592	Low2.44
NA5915	NA59151	Low2.15
NA8150	NA81501	Low2.61
NA8171	NA81711	Low2.93
NA5911	NA59112	Low2.40
NA1626	NA16261	Low2.6
NA2399	NA23992	Low2.63
NA2286	NA22862	Low2.90
NA463	NA4631	Low2.16
NA2691	NA26911	Low2.62
NA5490	NA54902	Low2.34
NA8109	NA81091	Low2.50
NA3080	NA30801	Low2.29
NA5818	NA58182	Low2.72
NA1514	NA15141	Low2.74
NA41	NA412	Low2.54
NA41	NA411	Low2.56
NA309	NA3092	Low2.70
NA7365	NA73651	Plate10.80
NA2688	NA26882	Plate10.24
NA5896	NA58962	Plate10.38
NA5896	NA58962	Plate10.82
NA5608	NA56082	Plate10.89
NA5530	NA55301	Plate10.70
NA8156	NA81562	Plate10.26
NA116	NA1162	Plate10.71
NA9133	NA91331	Plate10.72
NA5608	NA56081	Plate10.4
NA3022	NA30222	Plate10.5
NA9118	NA91181	Plate10.21
NA2031	NA20312	Plate10.20
NA2688	NA26881	Plate10.3
NA8097	NA80971	Plate10.8
NA9936	NA99362	Plate10.87
NA3259	NA32592	Plate10.31
NA9394	NA93942	Plate10.15
NA9011	NA90111	Plate10.47
NA5270	NA52702	Plate10.11
NA5899	NA58991	Plate10.25
NA5767	NA57672	Plate10.84
NA159	NA1591	Plate10.2
NA8097	NA80972	Plate10.17
NA5382	NA53821	Plate10.37
NA5246	NA52462	Plate10.6
NA6586	NA65861	Plate10.60
NA9139	NA91391	Plate10.68
NA9011	NA90112	Plate10.12
NA2036	NA20362	Plate10.61
NA5417	NA54172	Plate10.44
NA6018	NA60181	Plate10.58
NA6731	NA67311	Plate10.83
NA7082	NA70821	Plate10.67
NA7548	NA75481	Plate10.33
NA3212	NA32122	Plate10.48
NA584	NA5842	Plate10.23
NA3079	NA30791	Plate10.10
NA1444	NA14442	Plate10.41
NA5945	NA59452	Plate10.45
NA2299	NA22992	Plate10.50
NA5158	NA51582	Plate10.43
NA1697	NA16971	Plate10.29
NA468	NA4681	Plate10.30
NA3212	NA32121	Plate10.59
NA973	NA9732	Plate10.42
NA6544	NA65441	Plate10.36
NA5304	NA53042	Plate10.14
NA189	NA1891	Plate10.49
NA9046	NA90462	Plate10.66
NA9883	NA98832	Plate10.65
NA8116	NA81161	Plate10.13
NA2086	NA20861	Plate10.81
NA5066	NA50662	Plate10.16
NA2399	NA23991	Plate10.35
NA6433	NA64331	Plate10.53
NA197	NA1971	Plate10.9
NA6081	NA60811	Plate10.28
NA3221	NA32212	Plate10.78
NA5246	NA52461	Plate10.79
NA5903	NA59031	Plate10.63
NA2075	NA20752	Plate10.86
NA2690	NA26902	Plate10.75
NA2400	NA24001	Plate10.64
NA1466	NA14662	Plate10.39
NA2338	NA23381	Plate10.32
NA1697	NA16972	Plate10.18
NA3376	NA33761	Plate11.1
NA5160	NA51601	Plate11.16
NA6051	NA60511	Plate11.85
NA6586	NA65862	Plate11.61
NA5422	NA54222	Plate11.87
NA5300	NA53002	Plate11.53
NA3283	NA32832	Plate11.33
NA7365	NA73652	Plate11.6
NA3325	NA33251	Plate11.18
NA2447	NA24471	Plate11.8
NA9229	NA92291	Plate11.26
NA2036	NA20361	Plate11.63
NA5210	NA52102	Plate11.80
NA2036	NA20361	Plate11.23
NA3283	NA32832	Plate11.78
NA2694	NA26942	Plate11.12
NA9567	NA95671	Plate11.70
NA8116	NA81162	Plate11.73
NA5843	NA58432	Plate11.47
NA3215	NA32151	Plate11.20
NA9453	NA94531	Plate11.13
NA2694	NA26941	Plate11.4
NA5846	NA58461	Plate11.34
NA9396	NA93961	Plate11.28
NA3215	NA32152	Plate11.7
NA5533	NA55331	Plate11.36
NA3283	NA32831	Plate11.19
NA5071	NA50712	Plate11.15
NA3325	NA33252	Plate11.67
NA3236	NA32361	Plate11.86
NA5547	NA55471	Plate11.17
NA3034	NA30342	Plate11.41
NA3465	NA34652	Plate11.66
NA9142	NA91421	Plate11.54
NA8156	NA81561	Plate11.55
NA9396	NA93962	Plate12.82
NA5857	NA58571	Plate12.87
NA5420	NA54201	Plate12.29
NA9210	NA92101	Plate12.89
NA5400	NA54002	Plate12.30
NA5224	NA52241	Plate12.8
NA9182	NA91821	Plate12.24
NA1467	NA14671	Plate12.41
NA3277	NA32771	Plate12.9
NA189	NA1892	Plate12.47
NA5086	NA50862	Plate12.81
NA9424	NA94242	Plate12.37
NA9137	NA91372	Plate12.45
NA225	NA2252	Plate12.80
NA5843	NA58431	Plate12.52
NA5406	NA54061	Plate12.75
NA3455	NA34551	Plate12.76
NA5846	NA58462	Plate12.34
NA3069	NA30691	Plate12.7
NA5386	NA53862	Plate12.26
NA5431	NA54312	Plate12.50
NA8632	NA86322	Plate12.53
NA9881	NA98812	Plate12.59
NA5224	NA52242	Plate12.55
NA5907	NA59072	Plate12.73
NA3069	NA30692	Plate12.78
NA5502	NA55021	Plate12.67
NA3082	NA30822	Plate12.19
NA3306	NA33061	Plate12.31
NA1585	NA15851	Plate12.84
NA700	NA7002	Plate12.65
NA5400	NA54001	Plate12.62
NA9567	NA95671	Plate12.44
NA6051	NA60512	Plate12.4
NA9396	NA93961	Plate12.2
NA5289	NA52892	Plate12.85
NA1474	NA14741	Plate12.83
NA9845	NA98452	Plate12.40
NA9182	NA91822	Plate12.11
NA5711	NA57112	Plate12.74
NA1585	NA15852	Plate12.32
NA2419	NA24191	Plate12.54
NA9567	NA95672	Plate12.10
NA3286	NA32862	Plate12.88
NA5071	NA50711	Plate12.6
NA5172	NA51722	Plate12.46
NA6544	NA65442	Plate12.38
NA655	NA6551	Plate12.33
NA179	NA1791	Plate12.64
NA9394	NA93941	Plate12.60
NA9403	NA94031	Plate12.79
NA1546	NA15462	Plate12.68
NA9245	NA92451	Plate12.21
NA3034	NA30341	Plate12.72
NA227	NA2271	Plate12.42
NA5710	NA57102	Plate12.12
A206	A89098	Plate13.51
A363	A86020	Plate13.76
A337	A73659	Plate13.26
A294	A31986	Plate13.64
A346	A35503	Plate13.42
A323	A68895	Plate13.77
NA9961	NA99611	Plate13.92
A346	A43800	Plate13.79
A2	A90649	Plate13.19
A250	A98230	Plate13.81
NA5947	NA59472	Plate13.27
A351	A18183	Plate13.88
NA78	NA782	Plate13.21
A291	A94693	Plate13.32
NA8120	NA81202	Plate13.12
A39	A56288	Plate13.95
NA78	NA781	Plate13.1
A147	A63265	Plate13.71
A215	A50614	Plate13.83
NA3444	NA34442	Plate13.67
A83	A50834	Plate13.30
A323	A42556	Plate13.53
A351	A94881	Plate13.23
A71	A60672	Plate13.50
A337	A42988	Plate13.38
A208	A62513	Plate13.2
A194	A30677	Plate13.55
NA73	NA731	Plate13.29
NA5767	NA57671	Plate13.6
A113	A13694	Plate13.90
A349	A79825	Plate13.8
A306	A43297	Plate13.78
NA5743	NA57431	Plate13.63
A247	A33288	Plate13.31
NA5382	NA53821	Plate13.49
A50	A71841	Plate13.41
NA5743	NA57432	Plate13.57
NA5029	NA50292	Plate13.93
A208	A90981	Plate13.85
NA5947	NA59471	Plate13.33
A206	A48265	Plate13.75
A297	A49718	Plate13.54
A336	A75859	Plate13.89
A229	A38996	Plate13.24
A147	A25436	Plate13.36
A257	A46263	Plate13.14
NA5591	NA55912	Plate13.58
NA8120	NA81201	Plate13.40
NA5382	NA53822	Plate13.69
A113	A30718	Plate13.70
A2	A33943	Plate13.62
A349	A89225	Plate13.56
A144	A96017	Plate13.10
A347	A88496	Plate13.65
A215	A10489	Plate13.60
A144	A70553	Plate13.11
A363	A47444	Plate13.16
NA157	NA1572	Plate13.18
A313	A87846	Plate13.13
A229	A43212	Plate13.47
NA3444	NA34441	Plate13.91
A200	A63572	Plate13.9
A274	A56618	Plate13.15
A291	A40400	Plate13.45
NA5767	NA57672	Plate13.7
NA8171	NA81711	Plate13.68
NA2085	NA20851	Plate13.20
A350	A24705	Plate13.84
A50	A92645	Plate13.66
NA8103	NA81032	Plate13.28
A297	A39072	Plate13.86
NA9567	NA95671	Plate13.46
A117	A96947	Plate13.39
A103	A15981	Plate13.94
A71	A26652	Plate13.44
A117	A31714	Plate13.37
NA3019	NA30191	Plate13.73
NA5355	NA53551	Plate13.3
A43	A14467	Plate13.34
A83	A28196	Plate13.5
A263	A72540	Plate14.19
NA1064	NA10642	Plate14.71
NA5247	NA52471	Plate14.93
A98	A76965	Plate14.35
NA1064	NA10641	Plate14.42
NA1060	NA10602	Plate14.55
A365	A51830	Plate14.80
A77	A52451	Plate14.92
NA5151	NA51512	Plate14.72
NA5127	NA51271	Plate14.23
A85	A70797	Plate14.96
A64	A96455	Plate14.95
A256	A28821	Plate14.76
A9	A29235	Plate14.18
A378	A20531	Plate14.61
A35	A49349	Plate14.13
NA73	NA732	Plate14.62
A42	A72224	Plate14.81
NA6689	NA66891	Plate14.77
A332	A25295	Plate14.12
A120	A49283	Plate14.68
NA26	NA261	Plate14.73
A96	A70545	Plate14.54
A263	A91938	Plate14.16
NA5591	NA55911	Plate14.58
A107	A31302	Plate14.28
A256	A15917	Plate14.5
A261	A45476	Plate14.24
NA8171	NA81712	Plate14.30
A45	A60347	Plate14.21
NA2085	NA20852	Plate14.56
A279	A93773	Plate14.65
A98	A49963	Plate14.8
NA2286	NA22861	Plate14.33
A286	A89013	Plate14.64
A42	A17367	Plate14.74
A281	A99281	Plate14.44
A120	A61154	Plate14.26
A266	A48337	Plate14.17
A103	A66104	Plate14.59
NA3422	NA34221	Plate14.43
A287	A25103	Plate14.40
A295	A19795	Plate14.34
NA26	NA262	Plate14.27
NA3314	NA33141	Plate14.94
NA5127	NA51272	Plate14.39
NA5029	NA50291	Plate14.6
A27	A10674	Plate14.67
NA468	NA4682	Plate14.63
A274	A89125	Plate14.48
A273	A91859	Plate14.79
A194	A84953	Plate14.20
A24	A15349	Plate14.75
NA9567	NA95672	Plate14.14
A90	A64745	Plate14.89
NA2286	NA22862	Plate14.49
NA5151	NA51511	Plate14.31
NA157	NA1571	Plate14.51
A268	A21463	Plate14.46
NA5343	NA53432	Plate14.4
A261	A10970	Plate14.37
NA9960	NA99601	Plate14.60
NA2128	NA21281	Plate14.53
A107	A47735	Plate14.78
A332	A72713	Plate14.50
A268	A17357	Plate14.86
A336	A36473	Plate14.70
A102	A20764	Plate14.85
A45	A82771	Plate14.90
NA9061	NA90611	Plate14.83
A35	A89918	Plate14.7
A295	A82800	Plate14.2
A273	A91078	Plate14.15
A24	A48821	Plate15.6
A255	A41531	Plate15.36
A128	A83751	Plate15.38
NA324	NA3242	Plate15.48
A38	A11949	Plate15.32
A298	A65189	Plate15.26
A318	A17980	Plate15.96
A193	A50662	Plate15.33
NA5355	NA53552	Plate15.8
NA6689	NA66892	Plate15.18
A328	A71741	Plate15.23
A15	A28015	Plate15.11
A134	A27068	Plate15.35
A276	A64895	Plate15.53
A365	A51830	Plate15.64
NA324	NA3241	Plate15.60
A269	A13686	Plate15.52
A364	A17657	Plate15.30
A106	A35909	Plate15.62
A360	A75855	Plate15.59
A181	A16793	Plate15.40
A321	A41141	Plate15.72
A134	A86607	Plate15.75
A78	A92276	Plate15.22
A171	A22969	Plate15.63
A270	A48411	Plate15.88
A27	A60890	Plate15.19
A302	A97744	Plate15.20
A371	A65369	Plate15.95
A374	A64598	Plate15.10
A320	A14964	Plate15.80
NA5915	NA59151	Plate15.14
NA9403	NA94031	Plate15.49
NA5915	NA59152	Plate15.4
A300	A45961	Plate15.44
A238	A35635	Plate15.89
A370	A11287	Plate15.1
A252	A98355	Plate15.9
A348	A98022	Plate15.57
A38	A18229	Plate15.93
A264	A63403	Plate15.41
A90	A18046	Plate15.7
A320	A61324	Plate15.84
A287	A77211	Plate15.15
NA5247	NA52472	Plate15.16
NA6046	NA60462	Plate15.29
A181	A19472	Plate15.74
NA179	NA1792	Plate15.37
A315	A73944	Plate15.81
A326	A11370	Plate15.65
A245	A63656	Plate15.51
A112	A97929	Plate15.79
A299	A78651	Plate15.31
NA2212	NA22121	Plate15.87
A276	A19183	Plate15.47
A29	A21890	Plate15.77
A330	A10042	Plate15.56
A255	A33708	Plate15.54
A338	A96586	Plate15.67
A326	A33029	Plate15.86
A333	A12397	Plate15.76
A259	A55827	Plate15.94
A318	A60066	Plate15.25
NA3314	NA33142	Plate15.17
A364	A98811	Plate15.73
A193	A23009	Plate15.61
A88	A67293	Plate15.91
A238	A14385	Plate15.34
A296	A71600	Plate15.71
NA6698	NA66981	Plate15.21
NA9061	NA90612	Plate15.12
NA5245	NA52452	Plate15.42
A252	A17278	Plate15.2
A85	A86864	Plate15.13
A371	A89533	Plate15.66
A269	A99515	Plate15.27
A171	A99684	Plate15.83
NA5896	NA58961	Plate15.50
A299	A76527	Plate15.92
NA309	NA3092	Plate15.55
A376	A10558	Plate15.85
NA3060	NA30602	Plate15.68
A365	A12940	Plate16.34
NA2086	NA20861	Plate16.64
A275	A25152	Plate16.12
A373	A69249	Plate16.4
NA9550	NA95501	Plate16.33
A198	A16988	Plate16.19
A309	A30992	Plate16.7
A376	A27272	Plate16.72
A275	A17048	Plate16.49
A319	A64223	Plate16.53
A324	A13420	Plate16.46
A260	A31520	Plate16.18
A314	A13899	Plate16.67
A280	A54238	Plate16.41
A179	A34042	Plate16.43
NA9800	NA98001	Plate16.56
A313	A50373	Plate16.37
A280	A97321	Plate16.22
A338	A54245	Plate16.2
A36	A68597	Plate16.61
A354	A30650	Plate16.15
A37	A89837	Plate16.21
A88	A97584	Plate16.6
NA6046	NA60461	Plate16.65
A198	A84884	Plate16.11
NA9698	NA96982	Plate16.31
A329	A79197	Plate16.26
A179	A88373	Plate16.74
A330	A93514	Plate16.30
A315	A11180	Plate16.63
NA9561	NA95611	Plate16.59
A298	A21432	Plate16.55
A322	A58358	Plate16.28
A343	A46655	Plate16.17
A310	A46381	Plate16.47
A102	A14989	Plate16.8
NA9561	NA95612	Plate16.68
A353	A82880	Plate16.14
A231	A51398	Plate16.1
NA56	NA562	Plate16.25
A304	A42540	Plate16.32
A304	A47527	Plate16.57
A292	A77897	Plate16.51
A78	A81276	Plate16.54
A270	A21147	Plate16.52
A51	A48005	Plate16.73
NA9395	NA93952	Plate16.60
A358	A57178	Plate16.45
A302	A48608	Plate16.29
A249	A10573	Plate16.16
\N	A83230	Plate16.36
NA138	NA1381	Plate16.23
A354	A83422	Plate16.71
NA3060	NA30601	Plate16.10
A21	A75643	Plate16.66
A288	A78240	Plate16.5
A314	A19573	Plate16.20
A52	A56870	Plate16.48
A353	A48921	Plate16.39
A319	A95746	Plate16.62
A52	A11015	Plate16.44
A339	A89454	Plate16.40
A231	A67928	Plate16.69
A370	A25090	Plate16.42
A288	A66425	Plate16.70
A322	A28582	Plate16.38
NA138	NA1382	Plate16.9
A11	A68497	Plate16.50
A51	A92256	Plate16.27
A249	A33709	Plate16.58
A128	A62322	Plate16.13
NA56	NA561	Plate16.3
A329	A76083	Plate16.24
A32	A74876	Plate17.42
A149	A95034	Plate17.73
A674	A21628	Plate21.35
A751	A66902	Plate21.54
A683	A45975	Plate21.68
A606	A54280	Plate21.27
A751	A20155	Plate21.44
A620	A95513	Plate21.22
A340	A94263	Plate17.51
A614	A15984	Plate21.48
A70	A67116	Plate17.2
NA5144	NA51442	Plate17.89
A622	A75274	Plate21.40
A292	A30643	Plate17.40
A617	A41200	Plate21.30
NA993	NA9932	Plate17.20
A278	A29387	Plate17.62
A608	A75491	Plate21.61
NA5903	NA59031	Plate21.16
NA6	NA62	Plate17.87
A478	A50851	Plate21.15
NA2405	NA24051	Plate17.76
NA9046	NA90462	Plate17.92
A489	A40490	Plate21.78
A542	A17698	Plate21.71
A602	A21137	Plate21.13
A303	A12782	Plate17.13
A553	A87664	Plate21.96
NA41	NA412	Plate21.87
A72	A14945	Plate17.36
A8	A20217	Plate17.94
A708	A79306	Plate21.72
A706	A10496	Plate21.8
A629	A15138	Plate21.75
A40	A89083	Plate17.41
A75	A55203	Plate17.77
A768	A33236	Plate21.84
A108	A15493	Plate17.25
A121	A32538	Plate17.33
A676	A12062	Plate21.66
A57	A32881	Plate17.91
A620	A88573	Plate21.23
A301	A72555	Plate17.83
A683	A13413	Plate21.67
A607	A51271	Plate21.47
A260	A53541	Plate17.56
A592	A82496	Plate21.36
A72	A70642	Plate17.9
A76	A54995	Plate17.52
A609	A84766	Plate21.6
NA3034	NA30341	Plate17.23
A795	A20687	Plate21.11
A604	A41549	Plate21.2
A28	A58870	Plate17.68
A99	A15649	Plate17.58
A447	A15328	Plate17.15
A888	A10419	Plate21.81
A48	A11995	Plate17.93
A271	A33458	Plate17.7
NA5090	NA50902	Plate17.18
NA931	NA9312	Plate17.4
NA5272	NA52721	Plate21.94
A607	A95616	Plate21.60
A588	A19310	Plate21.53
NA2405	NA24052	Plate17.1
A614	A83547	Plate21.55
A598	A19927	Plate21.37
NA6	NA61	Plate17.11
A629	A15768	Plate21.74
A74	A80938	Plate17.45
NA20	NA202	Plate17.38
A604	A49692	Plate21.3
NA1697	NA16972	Plate17.43
A888	A36973	Plate21.80
NA3398	NA33982	Plate17.63
NA5903	NA59032	Plate21.17
A66	A17169	Plate17.31
A542	A10571	Plate21.69
A605	A26933	Plate21.58
A608	A59808	Plate21.59
A768	A59757	Plate21.85
A41	A93419	Plate17.17
NA2393	NA23931	Plate17.30
A617	A61815	Plate21.29
A340	A89465	Plate17.3
A613	A65018	Plate21.20
A665	A17112	Plate21.76
A339	A14456	Plate17.72
NA9046	NA90461	Plate17.6
A622	A20445	Plate21.42
A649	A52372	Plate21.89
A540	A58605	Plate21.46
A324	A41397	Plate17.78
A594	A69874	Plate21.31
NA993	NA9931	Plate17.35
A605	A18520	Plate21.52
A41	A42149	Plate17.47
A447	A59793	Plate21.33
A73	A11356	Plate17.5
A11	A75619	Plate17.12
A74	A61240	Plate17.70
A684	A30930	Plate21.34
A711	A63646	Plate21.5
A169	A11177	Plate17.27
A478	A46907	Plate21.14
A278	A15841	Plate17.50
A674	A20214	Plate21.49
A489	A42635	Plate21.79
A89	A41932	Plate17.16
A342	A36543	Plate17.29
A682	A49753	Plate21.82
NA5335	NA53351	Plate17.14
A589	A57212	Plate21.18
A594	A55340	Plate21.32
A588	A21416	Plate21.38
A301	A33496	Plate17.79
NA41	NA411	Plate21.86
A795	A42779	Plate21.10
A708	A53403	Plate21.73
A610	A15269	Plate21.24
A573	A87030	Plate21.1
A99	A76150	Plate17.49
A31	A80249	Plate17.95
A609	A84635	Plate21.7
A87	A56928	Plate17.54
A598	A36420	Plate21.43
A204	A39289	Plate17.71
A682	A41276	Plate21.83
A334	A85694	Plate17.28
A706	A15019	Plate21.9
A553	A20574	Plate21.95
A689	A72418	Plate21.50
A37	A28699	Plate17.75
NA5144	NA51441	Plate17.44
A30	A41801	Plate17.96
A92	A84124	Plate17.39
NA309	NA3091	Plate17.48
A521	A42502	Plate21.41
NA2393	NA23932	Plate17.85
NA2419	NA24191	Plate17.81
A28	A20344	Plate17.26
A92	A69689	Plate17.10
NA289	NA2891	Plate17.53
NA3226	NA32261	Plate21.57
A30	A13984	Plate17.34
A341	A78798	Plate17.65
A341	A98465	Plate17.86
A108	A40963	Plate17.80
A592	A19633	Plate21.39
A610	A24562	Plate21.25
A73	A68851	Plate17.84
A521	A31787	Plate21.51
A589	A41157	Plate21.19
A665	A12879	Plate21.77
NA289	NA2892	Plate17.60
A606	A89319	Plate21.28
A649	A87701	Plate21.90
A68	A81349	Plate17.37
A788	A89445	Plate21.65
A630	A10255	Plate21.88
A602	A41070	Plate21.12
A331	A79378	Plate18.59
A854	A13822	Plate31.68
A450	A87788	Plate31.50
